name,base_data,licenses_x,new_data,licenses_y
libc-utils,0.7.2-r3,[BSD-2-Clause AND BSD-3-Clause],0.7.0-r3,[BSD-2-Clause AND BSD-3-Clause]
zlib,1.2.12-r2,[Zlib],1.2.12-r3,[Zlib]
