name,base_data,new_data
python3-problem-report,['2.20.9-0ubuntu7.28'],['2.20.9-0ubuntu7.23']
python3-software-properties,['0.96.24.32.18'],['0.96.24.32.14']
python3-twisted,['17.9.0-2ubuntu0.3'],['17.9.0-2ubuntu0.1']
python3-twisted-bin,['17.9.0-2ubuntu0.3'],['17.9.0-2ubuntu0.1']
python3.6,['3.6.9-1~18.04ubuntu1.8'],['3.6.9-1~18.04ubuntu1.4']
python3.6-dev,['3.6.9-1~18.04ubuntu1.8'],['3.6.9-1~18.04ubuntu1.4']
python3.6-minimal,['3.6.9-1~18.04ubuntu1.8'],['3.6.9-1~18.04ubuntu1.4']
rainbow,['3.0.0'],['2.1.0']
rake,['13.0.1'],['11.2.2']
redis-server,['5:6.0.6-3chl1~bionic1'],['5.0.6~bionic']
requests,[],['2.25.1']
rsync,['3.1.2-2.1ubuntu1.5'],['3.1.2-2.1ubuntu1.1']
ruby2.5,['2.5.1-1ubuntu1.12'],['2.5.1-1ubuntu1.8']
setuptools,['41.2.0' '47.1.0' '40.6.2' '56.0.0' '59.6.0' '65.3.0'],['28.8.0' '49.2.1' '54.2.0']
sigs.k8s.io/release-utils,['v0.6.0'],[]
sigs.k8s.io/structured-merge-diff/v4,['v4.1.2'],[]
sigs.k8s.io/yaml,['v1.2.0'],[]
simplecov,['0.21.2'],['0.11.2']
simplecov-html,['0.12.3'],['0.10.0']
six,['1.16.0' '1.10.0'],['1.15.0']
slf4j-api,['1.6.2' '1.7.36' '1.7.25' '1.7.30' '1.7.32'],['1.7.29']
snapd,['2.55.5+18.04'],['2.48.3+18.04']
software-properties-common,['0.96.24.32.18'],['0.96.24.32.14']
sos,['4.3'],['3.9']
sosreport,['4.3-1ubuntu0.18.04.1'],['3.9.1-1ubuntu0.18.04.3']
sqlite3,['3.22.0-1ubuntu0.5'],['3.22.0-1ubuntu0.4']
squashfs-tools,['1:4.3-6ubuntu0.18.04.4'],['1:4.3-6ubuntu0.18.04.1']
