name,version,licenses
libjson-glib-1.0-common,['1.4.2-3ubuntu0.18.04.1'],['[LGPL-2.1 LGPL-2.1+]']
libjson-perl,['2.97001-1'],['[Artistic GPL-1 GPL-1+]']
liblcms2-dev,['2.9-1ubuntu0.1'],['[GPL-2 GPL-2+ MIT]']
libllvm10,['1:10.0.0-4ubuntu1~18.04.2'],['[APACHE-2-LLVM-EXCEPTIONS Apache-2.0 BSD-3-Clause BSD-3-clause MIT Python solar-public-domain]']
liblockfile-bin,['1.14-1.1'],['[GPL-2 GPL-2+ LGPL-2+]']
liblockfile1,['1.14-1.1'],['[GPL-2 GPL-2+ LGPL-2+]']
liblqr-1-0,['0.4.2-2.1'],['[GPL-3 GPLv3 LGPL-3]']
liblqr-1-0-dev,['0.4.2-2.1'],['[GPL-3 GPLv3 LGPL-3]']
libltdl-dev,['2.4.6-2'],['[GFDL GPL]']
libmagickcore-6-arch-config,['8:6.9.7.4+dfsg-16ubuntu6.13'],['[Artistic BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-1 GPL-2 GPL-2+ GPL-3 GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish LGPL-3 LGPL-3+ Magick++ Perllikelicence TatcherUlrichPublicDomain]']
libmagickcore-6-headers,['8:6.9.7.4+dfsg-16ubuntu6.13'],['[Artistic BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-1 GPL-2 GPL-2+ GPL-3 GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish LGPL-3 LGPL-3+ Magick++ Perllikelicence TatcherUlrichPublicDomain]']
libmagickcore-6.q16-3,['8:6.9.7.4+dfsg-16ubuntu6.13'],['[Artistic BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-1 GPL-2 GPL-2+ GPL-3 GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish LGPL-3 LGPL-3+ Magick++ Perllikelicence TatcherUlrichPublicDomain]']
libmagickcore-6.q16-3-extra,['8:6.9.7.4+dfsg-16ubuntu6.13'],['[Artistic BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-1 GPL-2 GPL-2+ GPL-3 GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish LGPL-3 LGPL-3+ Magick++ Perllikelicence TatcherUlrichPublicDomain]']
libmagickcore-6.q16-dev,['8:6.9.7.4+dfsg-16ubuntu6.13'],['[Artistic BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-1 GPL-2 GPL-2+ GPL-3 GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish LGPL-3 LGPL-3+ Magick++ Perllikelicence TatcherUlrichPublicDomain]']
libmagickwand-6-headers,['8:6.9.7.4+dfsg-16ubuntu6.13'],['[Artistic BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-1 GPL-2 GPL-2+ GPL-3 GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish LGPL-3 LGPL-3+ Magick++ Perllikelicence TatcherUlrichPublicDomain]']
libmagickwand-6.q16-3,['8:6.9.7.4+dfsg-16ubuntu6.13'],['[Artistic BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-1 GPL-2 GPL-2+ GPL-3 GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish LGPL-3 LGPL-3+ Magick++ Perllikelicence TatcherUlrichPublicDomain]']
libmagickwand-6.q16-dev,['8:6.9.7.4+dfsg-16ubuntu6.13'],['[Artistic BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-1 GPL-2 GPL-2+ GPL-3 GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish LGPL-3 LGPL-3+ Magick++ Perllikelicence TatcherUlrichPublicDomain]']
libmagickwand-dev,['8:6.9.7.4+dfsg-16ubuntu6.13'],['[Artistic BSD-with-FSF-change-public-domain GNU-All-Permissive-License GPL-1 GPL-2 GPL-2+ GPL-3 GPL2+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-Macros-exception-GNU ImageMagick ImageMagickLicensePartEZXML ImageMagickLicensePartFIG ImageMagickLicensePartGsview ImageMagickLicensePartOpenSSH ImageMagickPartGraphicsMagick ImageMagickPartlibjpeg ImageMagickPartlibsquish LGPL-3 LGPL-3+ Magick++ Perllikelicence TatcherUlrichPublicDomain]']
