name,version,licenses
mongodb-org,['4.0.28'],['[]']
mongodb-org-mongos,['4.0.28'],['[]']
mongodb-org-server,['4.0.28'],['[]']
mongodb-org-shell,['4.0.28'],['[]']
mongodb-org-tools,['4.0.28'],['[]']
more-itertools,['5.0.0'],['[MIT]']
ms,['2.1.2' '2.0.0'],['[]' '[MIT]']
mtrace,['1.8.0_242'],['[]']
multiverse-core,['0.7.0'],['[]']
mustache,['2.3.2'],['[MIT]']
mute-stream,['0.0.7' '0.0.8'],['[ISC]' '[]']
mvdan.cc/editorconfig,['v0.1.1-0.20200121172147-e40951bde157'],['[]']
mvdan.cc/sh/v3,['(devel)'],['[]']
