name,version,licenses
certifi,2018.1.18,[MPL-2.0]
certifi,2019.11.28,[MPL-2.0]
certifi,2019.11.28,[MPL-2.0]
certifi,2019.11.28,[MPL-2.0]
certifi,2020.12.5,[MPL-2.0]
cffi,1.14.5,[MIT]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,4.0.0,[LGPL]
clang,1:10.0-50~exp1,[GPL]
clang-10,1:10.0.0-4ubuntu1,[APACHE-2-LLVM-EXCEPTIONS Apache-2.0 BSD-3-Clause BSD-3-clause MIT Python solar-public-domain]
cloud-guest-utils,0.31-7-gd99b2d76-0ubuntu1,[GPL-3]
cloud-init,20.4,[Dual-licensed under GPLv3 or Apache 2.0]
cloud-init,21.1,[Dual-licensed under GPLv3 or Apache 2.0]
cloud-init,21.1-19-gbad84ad4-0ubuntu1~20.04.2,[Apache-2.0 GPL-3]
cloud-init,22.2,[Dual-licensed under GPLv3 or Apache 2.0]
cloud-init,22.2,[Dual-licensed under GPLv3 or Apache 2.0]
cloud-initramfs-copymods,0.45ubuntu1,[GPL-3 GPL-3.0+]
cloud-initramfs-dyn-netconf,0.45ubuntu1,[GPL-3 GPL-3.0+]
cloud.google.com/go/compute,v1.7.0,[]
cmake,3.16.3-1ubuntu1,[Apache-2.0 BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+with_exception GPL-3 GPL-3+with_exception ISC MIT-like zlib]
cmake-data,3.16.3-1ubuntu1,[Apache-2.0 BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+with_exception GPL-3 GPL-3+with_exception ISC MIT-like zlib]
coderay,1.1.1,[]
colorama,0.4.3,[BSD]
comerr-dev,2.1-1.45.5-2ubuntu1,[GPL-2 LGPL-2]
command-line-arguments,(devel),[]
command-not-found,0.3,[UNKNOWN]
command-not-found,20.04.4,[GPL]
commons-cli,1.4,[]
commons-codec,1.11,[]
commons-io,2.5,[]
commons-io,2.6,[]
commons-lang3,3.8.1,[]
configobj,5.0.6,[UNKNOWN]
configobj,5.0.6,[UNKNOWN]
configobj,5.0.6,[UNKNOWN]
configobj,5.0.6,[UNKNOWN]
console-setup,1.194ubuntu3,[GPL-2]
console-setup-linux,1.194ubuntu3,[GPL-2]
constantly,15.1.0,[MIT]
containerd,1.4.4-0ubuntu1~20.04.2,[Apache-2.0 BSD-2-clause BSD-3-clause-Google CC-BY-SA-4.0 Expat ISC LGPL-2.1 LGPL-2.1+ MPL-2.0]
coreutils,8.30-3ubuntu2,[GPL-3]
cpio,2.13+dfsg-2,[GPL-3]
cpp,4:9.3.0-1ubuntu2,[GPL]
cpp-9,9.3.0-17ubuntu1~20.04,[Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL LGPL-2.1+]
crash,,[]
cryptography,2.1.4,[BSD or Apache License  Version 2.0]
cryptography,2.1.4,[BSD or Apache License  Version 2.0]
cryptography,2.8,[BSD or Apache License  Version 2.0]
cryptography,2.8,[BSD or Apache License  Version 2.0]
cryptography,3.4.7,[BSD or Apache License  Version 2.0]
cryptsetup,2:2.2.2-3ubuntu2.3,[Apache-2.0 CC0 CC0-1.0 GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+ public-domain]
cryptsetup-bin,2:2.2.2-3ubuntu2.3,[Apache-2.0 CC0 CC0-1.0 GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+ public-domain]
cryptsetup-initramfs,2:2.2.2-3ubuntu2.3,[Apache-2.0 CC0 CC0-1.0 GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+ public-domain]
cryptsetup-run,2:2.2.2-3ubuntu2.3,[Apache-2.0 CC0 CC0-1.0 GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+ public-domain]
ctor,0.1.16,[]
ctor,0.1.19,[]
curl,7.68.0-1ubuntu2.5,[BSD-3-Clause BSD-4-Clause ISC curl other public-domain]
dash,0.5.10.2-6,[GPL]
dbus,1.12.16-2ubuntu2.1,[AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2 GPL-2+ Tcl-BSDish g10-permissive]
dbus-python,1.2.16,[Expat (MIT/X11)]
dbus-user-session,1.12.16-2ubuntu2.1,[AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2 GPL-2+ Tcl-BSDish g10-permissive]
dconf-gsettings-backend,0.36.0-1,[GPL-3 LGPL-2+]
dconf-service,0.36.0-1,[GPL-3 LGPL-2+]
debconf,1.5.73,[BSD-2-clause]
debconf-i18n,1.5.73,[BSD-2-clause]
debianutils,4.9.1,[GPL]
diff-lcs,1.2.5,[]
diffutils,1:3.7-3,[GFDL GPL]
dirmngr,2.2.19-3ubuntu2.1,[BSD-3-clause CC0-1.0 Expat GPL-3 GPL-3+ LGPL-2.1 LGPL-2.1+ LGPL-3 LGPL-3+ RFC-Reference TinySCHEME permissive]
distro,1.4.0,[Apache License  Version 2.0]
distro,1.5.0,[Apache License  Version 2.0]
distro-info,0.23ubuntu1,[UNKNOWN]
distro-info-data,0.43ubuntu1.5,[ISC]
dmeventd,2:1.02.167-1ubuntu1,[BSD-2-Clause GPL-2 GPL-2.0 GPL-2.0+ LGPL-2 LGPL-2.1]
dmsetup,2:1.02.167-1ubuntu1,[BSD-2-Clause GPL-2 GPL-2.0 GPL-2.0+ LGPL-2 LGPL-2.1]
dnsutils,1:9.16.1-0ubuntu2.8,[BSD-2-clause BSD-3-clause ISC MPL-2.0]
docile,1.1.5,[]
docker,5.0.0,[Apache License 2.0]
docker-compose,1.29.0,[Apache License 2.0]
docker.io,20.10.2-0ubuntu1~20.04.2,[Apache-2.0 BSD-2-clause BSD-2-clause-gocapability BSD-3-Clause-Google BSD-3-clause-Generic BSD-3-clause-Google BSD-3-clause-Prime BSD-3-clause-miekg Cryptoki Expat GPL-2 ISC LGPL-3 MPL-2.0 WTFPL-2.0]
dockerpty,0.4.1,[Apache 2.0]
docopt,0.6.2,[MIT]
dosfstools,4.1-2,[GPL-3 GPL-3+ public-domain]
dpkg,1.19.7ubuntu3,[BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d]
dpkg-dev,1.19.7ubuntu3,[BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d]
e2fsprogs,1.45.5-2ubuntu1,[GPL-2 LGPL-2]
eatmydata,105-7,[GPL-3 GPL-3+]
ed,1.16-1,[BSD-2-Clause FCONF FDOC FLOG GFDL-1.3 GFDL-NIV-1.3+ GPL-2 GPL-2+ GPL-3 GPL-3+]
eject,2.1.5+deb1+cvs20081104-14,[GPL-2]
entrypoints,0.3,[]
ethtool,1:5.4-1,[GPL-2]
expect,5.45.4-2build1,[PD]
fdisk,2.34-0.1ubuntu9.1,[BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ LGPL-3 LGPL-3+ MIT public-domain]
file,1:5.38-4,[BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain]
finalrd,6~ubuntu20.04.1,[GPL-3]
findutils,4.7.0-1ubuntu1,[GFDL-1.3 GPL-3]
flex,2.6.4-6.2,[FLEX FSFAP GPL GPL-2+ GPL-3 GPL-3+ LGPL-2+]
fontconfig-config,2.13.1-2ubuntu3,[]
fonts-dejavu,2.37-1,[GPL-2 GPL-2+ bitstream-vera]
fonts-dejavu-core,2.37-1,[GPL-2 GPL-2+ bitstream-vera]
fonts-dejavu-extra,2.37-1,[GPL-2 GPL-2+ bitstream-vera]
fonts-ubuntu-console,0.83-4ubuntu1,[CC-BY-SA-3.0 GPL-3 Ubuntu-Font-Licence-1.0]
friendly-recovery,0.2.41ubuntu0.20.04.1,[GPL-2 GPL-2+]
ftp,0.17-34.1,[BSD-3-clause]
fuse,2.9.9-3,[GPL-2 GPL-2+ LGPL-2]
fwupd,1.3.11-1~focal1,[CC0-1.0 LGPL-2.1 LGPL-2.1+]
g++,4:9.3.0-1ubuntu2,[GPL]
g++-9,9.3.0-17ubuntu1~20.04,[Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL LGPL-2.1+]
gawk,1:5.0.1+dfsg-1,[GPL-3 GPL-3+]
gcc,4:9.3.0-1ubuntu2,[GPL]
gcc-10-base,10.2.0-5ubuntu1~20.04,[Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL]
gcc-9,9.3.0-17ubuntu1~20.04,[Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL LGPL-2.1+]
gcc-9-base,9.3.0-17ubuntu1~20.04,[Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL LGPL-2.1+]
gcovr,4.2,[BSD]
gcovr,4.2-1,[BSD-3-clause GPL-2 GPL-2+]
gdal-data,3.0.4+dfsg-1build3,[Apache-2.0 Artistic BSD-3-Clause Base64 Expat GPL-1 GPL-1.0+ GPL-3 GPL-3+ HPND-3i HPND-disclaimer HPND-eos HPND-p-sl-sgi HPND-sl-gl-sgi HPND-sl-sgi IJG ITT Info-ZIP JasPer-2.0 LGPL-2 LGPL-2+ PostgreSQL Qhull cpl-mem-cache libpng public-domain zlib]
gdb,9.2-0ubuntu1~20.04,[BSD-3-clause GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+]
gdbserver,9.2-0ubuntu1~20.04,[BSD-3-clause GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+]
gdisk,1.0.5-1,[LGPL-2 LGPL-2.0+]
gettext-base,0.19.8.1-10build1,[GFDL GPL LGPL]
ghost,0.1.2,[]
gir1.2-glib-2.0,1.64.1-1~ubuntu20.04.1,[BSD-2-clause GPL-2 GPL-2+ LGPL-2 LGPL-2+ MIT]
gir1.2-packagekitglib-1.0,1.1.13-2ubuntu1.1,[GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+]
git,1:2.25.1-1ubuntu3.1,[Apache-2.0 Artistic BSD-2-clause Boost EDL-1.0 Expat GPL GPL-1+ GPL-2 GPL-2+ ISC LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ dlmalloc mingw-runtime]
git-man,1:2.25.1-1ubuntu3.1,[Apache-2.0 Artistic BSD-2-clause Boost EDL-1.0 Expat GPL GPL-1+ GPL-2 GPL-2+ ISC LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ dlmalloc mingw-runtime]
github.com/AliyunContainerService/ack-ram-tool/pkg/credentials/alibabacloudsdkgo/helper,v0.2.0,[]
github.com/Azure/azure-sdk-for-go,v66.0.0+incompatible,[]
github.com/Azure/go-autorest/autorest,v0.11.28,[]
github.com/Azure/go-autorest/autorest/adal,v0.9.20,[]
github.com/Azure/go-autorest/autorest/azure/auth,v0.5.11,[]
github.com/Azure/go-autorest/autorest/azure/cli,v0.4.5,[]
github.com/Azure/go-autorest/autorest/date,v0.3.0,[]
github.com/Azure/go-autorest/logger,v0.2.1,[]
github.com/Azure/go-autorest/tracing,v0.6.0,[]
github.com/CycloneDX/cyclonedx-go,v0.5.2,[]
github.com/Masterminds/goutils,v1.1.1,[]
github.com/Masterminds/semver/v3,v3.1.1,[]
github.com/Masterminds/sprig/v3,v3.2.2,[]
github.com/Rican7/retry,v0.3.1,[]
github.com/Rican7/retry,v0.3.1,[]
github.com/acobaugh/osrelease,v0.1.0,[]
github.com/adrg/xdg,v0.3.3,[]
github.com/alibabacloud-go/alibabacloud-gateway-spi,v0.0.4,[]
github.com/alibabacloud-go/cr-20160607,v1.0.1,[]
github.com/alibabacloud-go/cr-20181201,v1.0.10,[]
github.com/alibabacloud-go/darabonba-openapi,v0.1.18,[]
github.com/alibabacloud-go/debug,v0.0.0-20190504072949-9472017b5c68,[]
github.com/alibabacloud-go/endpoint-util,v1.1.1,[]
github.com/alibabacloud-go/openapi-util,v0.0.11,[]
github.com/alibabacloud-go/tea,v1.1.18,[]
github.com/alibabacloud-go/tea-utils,v1.4.4,[]
github.com/alibabacloud-go/tea-xml,v1.1.2,[]
github.com/aliyun/credentials-go,v1.2.3,[]
github.com/anchore/client-go,v0.0.0-20210222170800-9c70f9b80bcf,[]
github.com/anchore/go-macholibre,v0.0.0-20220308212642-53e6d0aaf6fb,[]
github.com/anchore/go-version,v1.2.2-0.20200701162849-18adb9c92b9b,[]
github.com/anchore/packageurl-go,v0.1.1-0.20220428202044-a072fa3cb6d7,[]
github.com/anchore/stereoscope,v0.0.0-20220921141924-56552770e555,[]
github.com/anchore/syft,v0.0.0-20220929184559-b9b13d5525df,[]
github.com/andybalholm/brotli,v1.0.4,[]
github.com/antihax/optional,v1.0.0,[]
